id,review,rating,likes,date
1,App doesn't seem to cater for cases where you already successfully have good responses.,3,0,2025-05-12
2,I've only just started using this app but so far so good,4,0,2025-05-11
3,"Never leave reviews but in the first five minutes of using the app I was seeing clear signs and triggers. This app really works it's legit, it's thought provoking and thoughtful. Recommending it now if you're even in question. Just do it full subscription. Cheaper than a lot and more helpful than most out there. 👍👌",5,0,2025-05-11
4,I'm loving the app its helping me with my problems I am doing so much better!,5,0,2025-05-11
5,worst app I need help mentally and I was interested in using the app but since I have a prepaid phone I can't use the app at all. I'm so tired of not being able to get help because I'm broke. I hate life,1,0,2025-05-11
6,"as today is my first day experiencing the app I can't comment on long term achievement. however I can say that today, my first day, it has been successful at teaching me a few things I did not know and that were helpful. I'm looking forward to spending time on the app in future days to come. A+",5,0,2025-05-09
7,"I just started using the app, but it has already helped me in just a few days. the mini lessons are a great way to spend a small amount of time each day on yourself! it's also a great compliment to therapy sessions!",5,0,2025-05-07
8,no free version as advertised,1,0,2025-05-06
9,"only done a few lessons so far but when I unlocked a box with a prize inside, it said ""you won a joke"" and showed me a lil funny cartoon about procrastinating. very original!!!",5,0,2025-05-05
10,"So far, the app has been very interesting and enlightening. l am looking forward to implementing the things I learn into everyday situations.",5,0,2025-05-04
11,just downloaded the app and love it! very helpful to reduce my reactivity.,5,0,2025-05-02
12,You should mention in the description that this is not a free app. I wasted my time.,1,1,2025-05-02
13,doesn't help with anger issues. I'm so sick of people stuck on thinking CBT helps with anger. it doesn't .,1,0,2025-05-01
14,"really helpful, and very easy to use",5,0,2025-04-28
15,it says it's free but you have to pay every month or a 7 free day trial. 😡,1,1,2025-04-28
16,App really helps with techniques information to help reframe thinking.,5,0,2025-04-27
17,"When I first came across this app, it was sold to me as Duolingo for Emotions. Initially I thought it took more concentration but overtime it has become part of my routine and I've learnt amazing skills and perspectives to why I behave/think/feel the way I do. Highly recommend this! It is worth the cost if you are willing to put the effort it.",5,5,2025-04-23
18,"this app explains why I have anxiety, I have not really found the part yet that helps with it. I hope I do soon though.",4,0,2025-04-23
19,"So very buggy. The lessons are the ONLY function working as intended. The lessons are helpful. Everything else has a bug of some sort. I paid for all the functions for a year. Reached out to support and was told they're ""on it"". not sure what that means, but I'm definitely cancelling until they follow up or I see improvement.",2,0,2025-04-22
20,not sure if I like it yet but it seems like it is a good program,3,0,2025-04-21
21,"still in the free trial, however, so far every thing I've completed has spun my mindset to work on so many things including how I word things",5,1,2025-04-21
22,"cute app, does what it does well",5,1,2025-04-21
23,15 minutes in and I'm already hooked and even feeling a bit better than I was. I highly recommended this app and challenge you to at least try it and see for yourself. I am seriously excited about this one and all I'll get to take away from it. 15 minutes in and I've already gains so much from it.,5,1,2025-04-20
24,Niccccce.,5,0,2025-04-19
25,I'm really digging this app. I've lowered my social media time and am liking the consistency of learning a little every day.,5,1,2025-04-18
26,Really gets me out of my own head and helps me focus on coping options,5,1,2025-04-17
27,I don't want to pay I'm a kid,1,0,2025-04-17
28,helped with techniques,4,1,2025-04-16
29,"I'm an emotional wreck and I never know that. Long story short, relationships and life in general started going down and I needed help. That's when I came across ahead. I'm still a wreck now but I'm fixing things little by little and I can see my life getting better.",5,1,2025-04-15
30,"This company used an AI image of Brittney Spears after she had a breakdown and shaved her head with the caption, ""This could have been a 2-minute reflection, not a buzzcut."" If this app is willing to exploit the mental health of someone in an effort to advertise, they do not respect your emotions and health. This company is disgusting.",1,5,2025-04-15
31,wish there was different options sometime neither fits and just pick a random scenario,4,1,2025-04-15
32,"Developers who don't know how to save UI state on app going into background do not deserve to be paid, sorry. Nice visuals awfully coding all over.",1,1,2025-04-12
33,"really liking this so far. satisfyingly affirmational, - clearly a lot of thought was put into this app.",5,1,2025-04-11
34,Way too expensive and no monthly option or discounts. They call it a fair trial policy but it's not.,1,1,2025-04-10
35,"nevermind it shouldn't cost me money, I'll use AI instead.",1,0,2025-04-09
36,This app isn't free to use. They just offer a 7 or 30 day free trial and it sucks because I really need help with this type of stuff..,1,3,2025-04-08
37,Dont use won't refund,1,0,2025-04-08
38,I like this app.,5,0,2025-04-07
39,"The free week trial has been helpful, a two week trial would have been more beneficial for seeing if using the app sticks before committing. The content itself is really well done and serves as great supplemental therapy.",5,12,2025-04-04
40,so disappointing can't use for free have to pay subscription,1,1,2025-04-04
41,love it,5,0,2025-04-04
42,"I'm really not fond of there only being one option of a subscription, $59 for a year. I probably won't continue after my trial unless this thing works miracles.",2,3,2025-04-03
43,"I enjoy using this app, I have paid for a year subscription. I just finished the positivity section, but I wish there was an option to reset my progress on it or something so I can redo it and have it remember which ones I've redone (like a gold tick instead of purple for the ones done again). The customer service isn't good, I emailed asking how to access the check in page as I have achievements for check in which remains empty as I can't find it, but no one gets back to me.But content is good",4,5,2025-04-01
44,"Have you take a self assessment test. Which any professional will tell you is not a valid method of analysis, while assuring you that they have a fair 5 day trial. Apparently by fair they mean we are going to ask for your credit card in advance and you are signing a contract to pay $80 for our service if you don't cancel 24 hours before the day six. And we won't let you even see what our service offers without this contract to pay. This is called a scam.",1,2,2025-04-01
45,"So far it's easy to use and fun, Ive been doing my work with my therapist but it's hard for me to find the words to express myself and understand what I'm feeling, this app is helping me to work on each aspect step by step. I like it a lot",5,3,2025-03-31
46,"Canceled autopay for the free trial ending and didn't want to spend $64, got it taken out of my bank anyway, and then learned from the app that they ""don't do refunds"" and told my bank it was a legit charge. I only make a low amount a month and they put my bank into the negative and won't return the money. Won't be using again.",1,9,2025-03-27
47,Uninstalled before using because they basically want a yearly subscription. there is no free access unless you subscribe.,1,5,2025-03-26
48,"This app is predatory. I tried to cancel my 7-day trial on the seventh day, but realized I had already been charged for a year subscription ($80!). I feel like a fool. The activities I did for a week were not helpful and extremely basic. Zero stars from me. :(",1,22,2025-03-25
