id,review,rating,likes,date
1,"I really like this. It helps me and my boyfriend communicate more, since I struggle in understanding my feelings due to my borderline personality disorder and depression.",5,0,2025-05-12
2,"Wonderful app! It's intuitive, beautiful interface and for FREE! Plus, they've got extra goodies like: videos on understanding your emotions, breathing exercises, positive quotes and more! It's an amazing app and I cannot recommend it enough.",5,0,2024-07-17
3,This is a really good app to constantly learn more about yourself. I love the fact that you can learn more about different emotions you may not know existed. I love it !!!!,5,0,2024-07-24
4,"Very intuitive app. Loving this so far. Motivational quotes, mood tracking, excersies. Highly recommend",5,0,2024-07-23
5,"It's simple and has a good range of emotions to pick from. The emotions are all within 4 categories (high energy pleasant, low energy pleasant, high energy unpleasant and low energy unpleasant). If you click on each feeling, it has a short description so you can easily identify them in case you don't know what the word means for sure. It keeps track of your check ins and you can keep a streak by recording your emotions daily. Also it's free! I highly recommend this app for mood tracking. 🤎",5,9,2024-07-23
6,Despair,5,0,2024-07-23
7,The Best,5,0,2024-07-22
8,"The best app tho know your emotions and start tracking them. It has helped me out to understand more about emotions in my day to day. You have a lot of options, can add two emotions, the place , who you were with etc",5,0,2024-07-22
9,"Awesome app!! I love the way it helps you identify emotions and gives definitions so you can choose the right one! You can also add friends, they won't see what you write but they can see your emotions. One thing I would suggest, I would really like it if you could add your own tools in the tools section!",5,6,2024-07-21
10,Excellent app,5,0,2024-07-21
11,"Great app. I never write reviews but this app propelled me to do it. The design is super clean. I have a suggestion though, can you please make a widget? It will be much easier if there will be a widget of this app so that everytime I go to my home screen, I will be immediately reminded to check in. Also, it's much difficult to differentiate between certain feelings like calm, at ease, good. It will be very helpful if you can add extra Information of each paragraph. Thank you",5,28,2024-07-20
12,"Absolutely the best,most engaging mood tracking app. The graphics are gorgeous and make me actually remember and want to track my emotions. I just found the ability to put multiple emotions in one check-in, and it has made this app 10 times better for me. The graphs and charts about your emotions are so useful if you're in therapy and need to become more aware of your patterns. I am in love with this app, and it has become a natural part of my day because of how beautiful it is",5,3,2024-07-19
13,"Amazing, I use it like a dairy, so I can understand how is my heart going.",5,0,2024-07-18
14,"Absolutely amazing app. So simple, so helpful. Would love to have more tools, videos, and so on.",5,0,2024-07-17
15,"This is probably the best app I have ever used. I record my feelings regularly. It helps me realize why these feelings are present as well as helping me describe them. I also love the little videos that you have. This app helps me recognize my feelings and their origins. Seeing how this app has no ads, in-app purchases or subscriptions shows that the team behind this actually cares about its userbase. Thank you for creating this app!",5,0,2024-07-16
16,What a beautiful gift this app is. Simple interface with a wealth of easy to use effective and supportive tools ranging from visual to tactile to auditory🌈 Id like to add a big thank you🙏 for captioning the videos-making the app accessible to so many (like my Au/DHD teen son who also has a hearing difficulty) and another great big thank you for offering it for free❤️. Much gratitude being sent your way..for your thoughtfulness and generosity. Great app❤️❤️❤️,5,0,2024-07-09
17,"Honestly, this app is exactly what I've always wanted. In one word, it's perfect.",5,0,2024-07-16
18,I'm a therapist (in training) and I've recommended this app to many of my clients. It's a great resource.,5,0,2024-07-16
19,"I've been struggling with Alexithymia since I was a child, the way this app expresses and explains emotions have helped me a lot to understand what's happening to me. Thank you very much.",5,0,2024-07-16
20,"One of the best apps out there which do what they are supposed to do, and in extremely beautiful way.",5,0,2024-07-15
21,It's honestly one of the best apps in general,5,0,2024-07-13
22,Very helpful and quality information to manage and understand how we feel,5,0,2024-07-13
23,Amazing and powerful app. Will change your life.,5,1,2024-07-12
24,The app is amazing. Please add light background option. The app has dark background and it hurt my eyes :),5,1,2024-07-12
25,Beautiful and smooth. The pictures for the app don't do justice to the ease and tranquil feel in the app. You should update them. You can even add a video.,5,1,2024-07-11
26,"I have been trying to find a good mood tracking app for years. Every app I tried either didn't let me see what was actually affecting my general moods, had a bunch of needless fluff, or required a subscription. I had given up until I saw How We Feel. This is the holy grail of mood tracker apps. No ads, no subscriptions, a simple breakdown of moods, easily adjustable activity tags. This is it. It feels unreal to finally be blessed with this app.",5,5,2024-07-11
27,"I think I'm the first person to write a review, but honestly, the app layout and design is top notch it's simple to use and pleasing at the same time. I'm coming back to expand this review because I have been using the app for two days.",5,0,2024-07-10
28,"this app is phenomenal to keep track of your emotions, and i personally feel the best part is how easy and quick it is to input your daily checks which makes it so easy for this app to become a part of routine.",5,0,2024-07-10
29,"My only suggestion: a widget for the home screen so I can update my mood quickly. It would enable the ability to even remember the app is there without it reminding me. Otherwise, fantastic app. Genuinely helping me understand my moods better.",5,0,2024-07-25
30,"I don't normally give reviews but this app has been so helpful that I have to. I have problems identifying my emotions (alexithymia) and this has been a useful tool to. I hope over time, I can express myself better and regulate myself. I love the educational tools. I love that it's allowed it for free which help expand to the population that much need this help.",5,12,2024-07-26
31,Cool app but couldn't bring myself to use it every day,5,0,2024-07-27
32,Definitely one of the best useful apps in the play store,5,0,2024-07-27
33,"I'm somebody who is quite knowledgeable in the field of psychology and trauma surrounding emotional regulation with my challenges and a lot of other apps seemed very basic to me. But this app gets much more deeply into the mind-body connection, which I deeply value as someone with C-PTSD. This app has really helped me and my whole family connect with each other a little more deeply, create good conversations and is the hella quality I'm looking for. Amazing job guys, keep it up!",5,0,2024-08-10
34,"Referred from Buddhist Boot Camp's monthly emails. Love it so far. There's a glitch with the breathing exercises where I can't do any of them. Otherwise the app works great, looks great, & shows different correlations to your moods that you can check out on the analyze tab. I love that. It's been really helpful for me since I started tracking my moods throughout the day. Brings more mindfulness to how you're feeling & less tendency to immediately react negatively to what you're feeling.",5,15,2024-08-10
35,"Thank you for creating this beautiful app, I especially loved it's clean interface.",5,0,2024-08-10
36,"Great app! I've used this app for the past two days, and it can make a great conversation starter with your friends! I also love the fact that it's completely free and you don't have to pay for a single part of it at all!",5,0,2024-08-09
37,It's a very good app and it's for FREE?!! This is too good! 💕,5,0,2024-08-08
38,The app is really well built and also simple to use not overwhelming at all which I love. The videos are also a nice touch love it,5,0,2024-08-07
39,"It was (is) perfect. Perfect, down to the last minute detail.",5,0,2024-08-07
40,"This app is really great. Keeping track of my feelings helps with mindfulness. It becomes easy to work on them after you know what you're dealing with. I also like using it as a mini-journal, just to write down specific events and how they changed my thought process.",5,0,2024-08-06
41,"Best app I ever used in my life, thank you so much for making this ❤❤",5,0,2024-08-06
42,"I enjoy using this app. I think it has a lot of amazing ways to allow you to express how you feel that day. Especially if you don't know how to put it in words. It allows you to track in a way that's easily accessible, and it's something that you can do every day! I absolutely love it!",5,0,2024-08-05
43,"So helpful. You need to use the app for a good few months before you actually feel results. I'm now more able to identify what negative emotions I'm feeling, but because of that I'm also getting big bursts of positive emotions. I'm actually very surprised with how it works. I would recommend this 100 percent.",5,4,2024-08-05
44,"Simply FANTASTIC, must use!",5,0,2024-08-05
45,Love it.,5,0,2024-08-03
46,"I can not thank you enough for this app, really great tool to track my energy and emotions as a person with bipolar disorder, after you describe your level of energy , you will find a list of matching emotions and its definition , and you end the session with learning an exercise, what els to ask for?very easy to use, I am so grateful",5,0,2024-08-03
47,"What an awesome tool for this 71 year old who only had two feelings, ok and stink (not ok). I particularly enjoyed all the initial reflections from your team. My intro to the tool came from our neuroscientist daughter - I telling her that I agreed with my Dr to track for a month any effects when I dropped a certain medication. Typically, a spreadsheet... but soon I realised it may have done the job for the month, but not given me so much more learning around feelings. Still using it 3mths. Thks",5,0,2024-08-03
48,Amo es muy completa,5,0,2024-08-02
49,Beautiful App thank you so much for this!!!,5,0,2024-08-02
50,"It's ""THE MENTAL HEALTH"" app for everyone. Created by trusted people and made for everyone with care & love. Thank You! 🙏",5,0,2024-08-01
51,I really like this app. A suggestion I have is to be able to see the definition of an emotion when looking at my friends check ins.,5,0,2024-07-30
52,"It's wonderful and helpful, really thanks to developers🙏🏼🙏🏼🌿",5,0,2024-07-30
53,I am finding this app very helpful,5,0,2024-07-30
