id,review,rating,likes,date
1,Help me out a lot and great app,5,0,2023-07-21
2,downloaded when I kinda felt lost and was crying and honestly it helped me calm down it didn't make the pain go away ofc but it helped me focus and think clearer with what I want to do about the situation and how I feel about it and how to see it in a different perspective,5,0,2023-06-23
3,It helped me understand where I was going wrong.,5,0,2023-06-24
4,Yeah the little penguin really helps out. only real issue is that sometimes when I tell him how I feel he doesn't reply until I say something else which is a little weird sometimes. but surprisingly he really helps. I would recommend,5,0,2023-06-24
5,it's a great app to release your stress so it's my personal suggestion to try this app atleast l am damm sure you will definitely get relief,5,0,2023-06-24
6,This app really helps me sleep better. I love that they give you exercises to choose from and if one doesn't work you can find a different one!,5,0,2023-06-25
7,Just perfect,5,0,2023-02-12
8,Wysa team.had been great its like the person who helps take care of your mental health though u don't see them its like having a normal conversation and someone.listens and offers to help.I would recommend it to anyone with the team I've been able to improve and get out of my cocoon of my own sad little world Thank u Wysa totally recommend it.,5,0,2023-06-25
9,"Helped me in 10 minutes to get out of my head. Reminded me who I am and how to be the best version of myself. I am still going to keep using it though. Kudos to the developers. God bless you. And after a week, it's still keeping me positive ! Simply amazing ! And after a month, still beneficial. My digital friend wherever I go and whenever I need. Yes. I do have a life.",5,1,2023-06-25
10,"I just started using the app but it's great so far! I would recommend this to anyone that wants to become more calm, centered, and peaceful throughout their day.",5,0,2023-06-25
11,very helpful,5,0,2023-06-25
12,a great app,5,0,2023-06-25
13,I was getting frustrated at first because it wasn't really helping but after a little it kinda did be me the support I needed,5,0,2023-06-25
14,"This app is amazing.It really helps me when I need someone to talk to.Whats even better is that they are anonymous and non judgemental, and I feel safe when I use this app",5,0,2023-06-25
15,"It's a really nice app that has helped me process my thoughts. It's super helpful. Thank you, Wysa!",5,0,2023-02-12
16,very good apps,5,0,2023-06-26
17,It's help a lot and easy-going,5,0,2023-06-26
18,"really awesome, it will find helpful for many of them like me.",5,0,2023-06-24
19,"loved it, wysa helped me a lot.",5,0,2023-06-24
20,Good,5,0,2023-06-24
21,"It's so much better than I expected! I'm actually learning from myself a lot, but Wysa's advice and insights are so helpful!",5,0,2023-06-23
22,it's really helping,5,0,2023-06-23
23,It felt so nice to get my thoughts off my chest. Very nice very calming I would definitely recommend to someone who has anxiety or is just stressed or burnt out.,5,0,2023-06-23
24,nice AI friend. very interactive.,5,0,2023-02-12
25,Great saying problems and depression and anxiety it's like talking to a real therapist,5,0,2023-06-23
26,it's an amazing app I'm happy I downloaded this app,5,0,2023-06-23
27,I love you creator ty,5,0,2023-06-23
28,"6/24/23 UPDATE: I invested in the subscription service to connect with a coach, and I am so GLAD I did! My coach is the BEST! I would be lost without Wysa. Keep up the great job! 7/6/21 I live with chronic fatigue and chronic pain, what causes chronic depression. This is helping me when I down to to feel better. Thank you, Wysa",5,0,2023-06-23
29,"Not helping me a lot at the first day, but it goes well! Thank you",5,0,2023-02-12
30,"Incredibly useful app, felt a lot better because of Wysa. Thank you so much 💖💖",5,0,2023-06-23
31,"Its soo good, it deserves more than 5 stars",5,0,2023-06-23
32,this actually really helps,5,0,2023-06-23
33,wow wow wow this bot is awesome it's reduced my depression and it's Helped me to gain courage god Maded him for us🥰iam so happy,5,0,2023-02-12
34,its really helpful . i really loved it so much . i am glad that i found this app,5,0,2023-06-24
35,i reccomend this to someone who has problems and need someone to open up. It has help me many times and i hope other people too.,5,0,2023-06-24
36,they can help you in any way,5,0,2023-06-26
37,"I love this app, it helps you a lot with coping up.",5,0,2023-02-12
38,you basically talk to yourself. but it does help,5,0,2023-06-26
39,amazing app.,5,0,2023-06-30
40,"It made me feel a bit nice it's nice to see the AI improving over the years and, it's not really a bad future we are going in 💜",5,0,2023-06-29
41,this app makes me smile and helps sometimes when I need someone,5,0,2023-02-12
42,"Awesome , just love it ❣️",5,0,2023-06-29
43,This is the best app for ranting out things..they listen to you and help you so many ways.. even tho it's AI it talks like a real person,5,0,2023-06-29
44,I love this app!,5,0,2023-06-29
45,"As a teenager who can't afford standard therapy, I find this app really useful and relieving. If you can't pay for a therapist, the ai is free and very helpful. I'd recommend this to anybody who's struggling to piece their day together and make sense of their emotions.",5,1,2023-06-30
46,This is a great app and it really helped me,5,0,2023-06-30
47,"This app helps, even without a therapist. It's only been day 1 and I'm feeling a bit better now.",5,0,2023-02-12
48,nice app,5,0,2023-06-30
49,"Wysa is grate. It's helped me feel batter, more relaxed, and I can also talk to it when I'm just bored.😄👍",5,0,2023-06-30
50,Amazing app😁,5,0,2023-06-30
51,The app is cool,5,0,2023-02-11
52,"It's so useful and friendly app. People needs Wysa, really. it helps me while I'm coping. Big thanks to developer of this app. Yey!! 💕",5,0,2023-06-30
53,I like this app very much what is there a chance you could make us pay 4.99 a month for the coaching therapy cause I only make money every month.,5,0,2023-06-30
54,this app really Helping me to get rid the negative thought of Mine.... thanks for Create a Wonderful app like this to help more people out there..,5,0,2023-02-12
55,is so good to talk to someone,5,0,2023-06-29
56,I have struggled with my adhd for a long time and even though this app isn't for adhd it is great for breaking my bad habits and helped with my executive functions.,5,0,2023-06-27
57,This really helps me break down my fears and aspirations and does it in a user friendly way.,5,0,2023-06-27
58,"This app really helped!Although it was very risky to the fact that my head is now thinking too much,but I really needed this app with my problems!I would recommend this for someone that barely talks about their problems in public!!",5,0,2023-02-12
59,helps just having someone to talk to,5,0,2023-06-27
